timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1781717413381,1283,JP04_TC01_HomePage_Launch_1_1,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group_ProductBooking 4-1,,true,,5664,525,1,4,null,0,13,1104
1781717413388,1283,JP04_TC01_HomePage_Launch/actions/Catalog.action-212,200,,Thread Group_ProductBooking 4-1,text,true,,5664,525,1,4,https://petstore.octoperf.com/actions/Catalog.action,1281,0,1104
1781717413280,1283,JP02_TC02_Click_EnterTheStore_1_1,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group_ViewDetails 2-1,,true,,5664,525,1,4,null,0,111,1108
1781717413388,1283,JP02_TC02_Click_EnterTheStore/actions/Catalog.action-57,200,,Thread Group_ViewDetails 2-1,text,true,,5664,525,1,4,https://petstore.octoperf.com/actions/Catalog.action,1281,0,1108
1781717413394,1275,JP03_TC01_HomePage_Launch_1_1,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group_AddToCart 3-1,,true,,5664,525,1,4,null,0,12,1100
1781717413396,1275,JP03_TC01_HomePage_Launch/actions/Catalog.action-175,200,,Thread Group_AddToCart 3-1,text,true,,5664,525,1,4,https://petstore.octoperf.com/actions/Catalog.action,1273,0,1100
1781717413391,1310,JP01_TC01_HomePage_launch_1_1,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group_Search 1-1,,true,,1452,455,1,4,null,0,4,1117
1781717413393,1310,JP01_TC01_HomePage_launch/-4,200,,Thread Group_Search 1-1,text,true,,1452,455,1,4,https://petstore.octoperf.com/,1310,0,1117
1781717418907,171,JO03_TC02_SignIN_1_1,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group_AddToCart 3-1,,true,,4093,656,1,4,null,0,9,0
1781717418913,171,JP03_TC02_SignIN/actions/Account.action;jsessionid=64794F0FA7C8E7F671060090EA8E315B-179,200,,Thread Group_AddToCart 3-1,text,true,,4093,656,1,4,https://petstore.octoperf.com/actions/Account.action;jsessionid=25AA60391ABA7F76FE683EC232817FDF?signonForm=,171,0,0
1781717419577,189,JP01_TC02_Click_EnterTheStore_1_1,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group_Search 1-1,,true,,5664,525,1,4,null,0,5,0
1781717419578,189,JP01_TC02_Click_EnterTheStore/actions/Catalog.action-13,200,,Thread Group_Search 1-1,text,true,,5664,525,1,4,https://petstore.octoperf.com/actions/Catalog.action,187,0,0
1781717421785,174,JP02_TC03_Select_Product_1_1,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group_ViewDetails 2-1,,true,,3666,631,1,4,null,0,6,0
1781717421787,174,JP02_TC03_Select_Product/actions/Catalog.action-58,200,,Thread Group_ViewDetails 2-1,text,true,,3666,631,1,4,https://petstore.octoperf.com/actions/Catalog.action?viewCategory=&categoryId=BIRDS,173,0,0
