timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1781806854046,1483,JP04_TC01_HomePage_Launch_1_1,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group_ProductBooking 4-1,,true,,5664,525,1,4,null,0,8,1303
1781806854047,1483,JP04_TC01_HomePage_Launch/actions/Catalog.action-212,200,,Thread Group_ProductBooking 4-1,text,true,,5664,525,1,4,https://petstore.octoperf.com/actions/Catalog.action,1480,0,1303
1781806854077,1450,JP01_TC01_HomePage_launch_1_1,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group_Search 1-1,,true,,1452,455,1,4,null,0,8,1271
1781806854079,1450,JP01_TC01_HomePage_launch/-4,200,,Thread Group_Search 1-1,text,true,,1452,455,1,4,https://petstore.octoperf.com/,1448,0,1271
1781806854077,1449,JP03_TC01_HomePage_Launch_1_1,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group_AddToCart 3-1,,true,,5664,525,1,4,null,0,20,1272
1781806854080,1449,JP03_TC01_HomePage_Launch/actions/Catalog.action-175,200,,Thread Group_AddToCart 3-1,text,true,,5664,525,1,4,https://petstore.octoperf.com/actions/Catalog.action,1447,0,1272
1781806853859,1529,JP02_TC02_Click_EnterTheStore_1_1,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group_ViewDetails 2-1,,true,,5664,525,1,4,null,0,147,1351
1781806854000,1529,JP02_TC02_Click_EnterTheStore/actions/Catalog.action-57,200,,Thread Group_ViewDetails 2-1,text,true,,5664,525,1,4,https://petstore.octoperf.com/actions/Catalog.action,1527,0,1351
1781806858741,168,JP01_TC02_Click_EnterTheStore_1_1,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group_Search 1-1,,true,,5664,525,1,4,null,0,6,0
1781806858742,168,JP01_TC02_Click_EnterTheStore/actions/Catalog.action-13,200,,Thread Group_Search 1-1,text,true,,5664,525,1,4,https://petstore.octoperf.com/actions/Catalog.action,165,0,0
1781806859676,157,JO03_TC02_SignIN_1_1,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group_AddToCart 3-1,,true,,4097,656,1,4,null,0,1,0
1781806859677,157,JP03_TC02_SignIN/actions/Account.action;jsessionid=64794F0FA7C8E7F671060090EA8E315B-179,200,,Thread Group_AddToCart 3-1,text,true,,4097,656,1,4,https://petstore.octoperf.com/actions/Account.action;jsessionid=9CFDDA9065197A03C3A1C355733ADEA1?signonForm=,156,0,0
1781806861542,319,JP03_TC03_Login_1_1,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group_AddToCart 3-1,,true,,5372,1655,1,4,null,0,6,0
1781806861544,163,JP03_TC03_Login1/actions/Account.action-181,302,,Thread Group_AddToCart 3-1,,true,,230,999,1,4,https://petstore.octoperf.com/actions/Account.action,163,0,0
